A1100a,A1100b,A1100c,D1100a,D1100b,D1100c
13.723874,0,0,0,0,0
0,0,0,0,0,0
0,0,0,12.663336,12.393659,12.375039
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.714139,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.969566,12.251779,12.592457,0,0,0
0,0,13.406204,13.595374,13.356315,13.485326
0,0,0,13.872482,0,0
0,14.225884,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.115612,14.057061,13.287568,0,0,0
0,0,0,0,0,0
0,13.325727,14.81988,0,0,0
13.760407,0,13.531138,0,0,0
-6.649246,-6.649246,-6.649246,-6.649246,-6.649246,-6.649246
0,0,0,0,0,0
15.444045,15.449891,15.477537,12.768598,13.0287695,14.161683
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.417326,0,13.279901,0,12.843528,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,13.215229,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,11.957465,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.526683,14.49129,14.525581,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-8.153245,-8.153245,-8.153245,-8.153245,-8.153245,-8.153245
13.174769,12.992761,0,0,0,0
0,0,0,0,0,0
11.15861,0,0,0,0,0
0,0,0,0,0,0
-0.6782818,-0.75045204,-0.70220375,-0.57174397,-0.6332741,-0.71885014
0,0,0,0,0,0
0,0,0,0,0,0
0,0,13.256946,0,0,0
0,0,0,0,0,0
13.743783,14.005448,0,0,0,0
11.657318,0,0,0,0,0
0,0,0,0,0,0
13.152601,13.139551,13.049508,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,12.816983,0,0,0,0
0,0,0,0,0,0
0,15.006106,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,13.587193,0,0,0
-8.08509,-8.08509,-8.08509,-8.08509,-8.08509,-8.08509
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,13.945444,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.536612,14.506617,14.096632,0,12.685406,12.634584
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-8.518141,-8.518141,-8.518141,-8.518141,-8.518141,-8.518141
0,0,0,0,0,0
0,0,0,0,0,0
14.905669,14.656648,0,0,0,0
0,12.763834,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.811174,14.149588,14.1238785,0,0,0
0,0,0,0,0,0
16.639114,15.621937,16.710121,0,13.878626,14.13651
13.259155,0,13.142745,0,0,0
-7.2937126,-7.2937126,-7.2937126,-7.2937126,-7.2937126,-7.2937126
0,0,0,0,0,0
14.394597,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,13.703795,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-8.077211,-8.077211,-8.077211,-8.077211,-8.077211,-8.077211
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14.788514,0,14.435866,0,0,0
0,0,0,0,0,0
0,0,0,13.0017605,12.932215,13.042856
0,0,0,0,0,0
12.836445,12.804333,0,0,0,0
15.185224,14.416138,14.910549,13.345544,13.321223,12.612869
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,12.884933,12.653741,0,0,0
14.611024,14.623195,14.483501,0,0,0
0,0,0,0,0,0
15.608082,0,0,0,0,0
15.544693,15.462342,15.156834,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,14.039262,0,0,0
0,12.853309,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12.741677,0,0,0,0,0
0,0,0,0,0,0
11.82893,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,13.357553
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
15.19568,15.163728,14.642108,13.405009,13.419698,12.594091
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.850285,12.968667,13.743888,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,11.767357,11.297489,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13.364271,0,13.421276,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,12.624567,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,14.833038,14.686336,14.612235
0,12.020981,11.709945,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
